,Match Datetime,campaign,Competition,scaled midfield,sc_ra,sc_ca,sc_la,Team name,Midfield,Right defence,Central defence,Left defence,Right attack,Central attack,Left attack,ISP attack,ISP defence,Tactic,Tactic skill,Average goals,Formation,Defender_number,Mid_number,Forward_number,Actual goals,Style of play,Total exp,spex,Orders,HomeOrAway,Team name_,Midfield_,Right defence_,Central defence_,Left defence_,Right attack_,Central attack_,Left attack_,ISP attack_,ISP defence_,Tactic_,Tactic skill_,Average goals_,Formation_,Defender_number_,Mid_number_,Forward_number_,Actual goals_,Style of play_,Total exp_,spex_,Orders_,HomeOrAway_,id,Opponent,Match Date,Tactic short,Match Type,scaled_midfield,T_C,Indiv Order
26,2025-09-26 20:00:00+02:00,92,Europe Cup,8.0723,16.0936,7.3153,15.8498,Liechtenstein,9.75,22.25,23.5,22.75,16.5,7.5,16.25,9.25,12.5,Counter-attacks,21,0,4-4-2,4,4,2,0,-10,13,ZQHEQUQQEHQQEH,40444.0,H,Danmark,16.0,19.75,19.25,19.25,15.75,10.0,15.0,9.5,12.5,Play creatively,28,0,3-5-2,3,5,2,4,0,22,UHEUEUUHHHUTEH,400324,A,38539508,Dan,2025-09-26,CA,CC,8.072299931706274,442ca,NNN-NNNW-NWW-W
27,2025-09-19 20:00:00+02:00,92,Europe Cup,8.9722,14.37,7.4328,13.6267,Liechtenstein,13.75,21.75,24.0,22.5,14.5,7.5,13.75,9.25,12.75,Counter-attacks,20,0,4-4-2,4,4,2,1,-10,13,ZUQETQQQEQHHEQ,40044.0,H,Turkiye,7.5,23.25,26.0,22.5,16.5,15.5,6.25,9.5,11.75,Counter-attacks,23,0,5-2-3,5,2,3,0,-10,13,ZUTTZQUUEEEQQT,211000,A,38539484,Tur,2025-09-19,CA,CC,8.97217146463073,442ca,NNN-NNNW-NNW-W
28,2025-09-15 20:00:00+02:00,92,Europe Cup,10.0666,12.2568,12.2568,12.7675,Liechtenstein,10.0,22.25,24.25,22.25,12.0,12.0,12.5,8.0,12.0,Counter-attacks,20,0,4-4-2,4,4,2,2,-10,12,ZQHETPQEQQQHQE,1000.0,A,Severna Makedonija,15.0,14.25,14.5,16.0,14.25,17.75,20.25,8.75,10.75,Normal,0,0,3-4-3,3,4,3,0,4,13,ZHEHEQHETQQHUH,3140000,H,38539462,Sev,2025-09-15,CA,CC,10.066643205144045,442ca,NNN-NNN-NONNN-
29,2025-09-12 20:00:00+02:00,92,Europe Cup,12.2014,15.4081,18.4392,10.3563,Liechtenstein,17.75,17.0,14.0,9.25,15.25,18.25,10.25,9.25,11.0,Normal,0,0,2-5-3,2,5,3,2,0,12,ZQEHEEHQHQQPQH,131003000.0,H,Eesti,9.75,21.5,23.25,21.25,13.25,12.75,13.0,9.25,12.0,Counter-attacks,18,0,4-4-2,4,4,2,3,-10,12,ZUUEHTQUEHQWQE,0,A,38539437,Ees,2025-09-12,N,CC,12.201383122937374,bal,NN-O--MONNMNNN
30,2025-09-08 20:00:00+02:00,92,Europe Cup,11.8787,10.8856,13.9235,13.164,Liechtenstein,13.25,17.75,17.75,17.75,10.75,13.75,13.0,8.75,11.5,Normal,0,0,3-5-2,3,5,2,0,0,13,ZPEHEQQQQUHEQP,2003000300.0,H,Slovensko,9.25,21.25,23.5,21.25,14.75,13.75,13.75,10.5,13.75,Counter-attacks,19,0,4-4-2,4,4,2,0,-8,14,ZUHEQHQQQEHEQQ,10000,A,38539414,Slo,2025-09-08,N,CC,11.878739791609595,bal,ND-N-NMNNNM-NN
31,2025-09-05 20:00:00+02:00,92,Europe Cup,13.4008,11.25,12.75,11.0,Liechtenstein,11.25,18.0,17.5,19.0,11.25,12.75,11.0,8.75,11.75,Normal,0,0,3-5-2,3,5,2,2,-5,12,ZQEHEPQHQUQWQE,123300000.0,A,Danmark,11.75,17.75,16.25,15.5,16.0,19.25,15.0,10.25,11.75,Normal,0,0,3-4-3,3,4,3,3,0,20,UUEUEHUEHUHPHU,103003000,H,38539388,Dan,2025-09-05,N,CC,13.400833829660511,bal,NN-O-DMMNNNNN-
32,2025-08-29 20:00:00+02:00,92,Friendly,,,,,Liechtenstein,8.5,14.75,14.75,14.25,15.25,15.75,8.5,8.5,10.25,Normal,0,0,3-4-3,3,4,3,4,0,10,ZQEQEQTHQTEWQU,0.0,A,Nederland,9.25,9.25,8.0,4.0,15.0,18.25,12.5,10.25,8.25,Play creatively,21,0,2-5-3,2,5,3,3,10,11,QTEQEEQTHUUQPP,30000000,H,38552517,Ned,2025-08-29,N,F,,343,NN-N-NNNNN-NNN
33,2025-08-22 20:00:00+02:00,92,Friendly,,,,,Liechtenstein,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,Normal,0,0,0-0-0,0,0,0,0,0,0,EEEEEEEEEEEEEE,,A,Al Iraq,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,Pressing,0,0,4-5-1,4,5,1,5,-10,7,ZZPETUQpUHTEEQ,2040320400,H,38515891,Al ,2025-08-22,N,F,,bal,--------------
34,2025-08-15 20:00:00+02:00,90,Friendly,,,,,Liechtenstein,6.75,6.75,10.75,13.5,11.75,17.0,14.25,7.5,9.25,Play creatively,20,0,2-5-3,2,5,3,5,10,10,UEEPEUUUQHTQQQ,1031000000.0,H,Hong Kong,7.5,10.25,10.0,8.5,10.0,10.75,10.0,8.5,8.75,Normal,0,0,3-5-2,3,5,2,2,0,9,ZUEZEHQUPUHEWH,0,A,38469797,Hon,2025-08-15,PC,F,,AoA,N--O-NMONNNNNN
35,2025-08-08 20:00:00+02:00,90,Friendly,,,,,Liechtenstein,5.75,18.0,21.0,18.0,12.25,11.0,11.25,6.75,10.5,Counter-attacks,20,0,5-3-2,5,3,2,1,0,9,UQTTTHTETEPTET,1000.0,A,Cameroon,5.25,23.0,26.0,23.0,9.75,10.5,11.25,7.0,10.75,Counter-attacks,22,0,5-3-2,5,3,2,1,-10,10,ZUUHUTQEUEQUEH,2000200000,H,38151780,Cam,2025-08-08,CA,F,,hardca,NNNNNNN-O-NN-N
